Stage,Plastochron,Internode,Treatment,Length
S5,P9,Hyp,L88 57 Low Light,3.50
S5,P9,Hyp,L88 57 Low Light,4.20
S5,P9,Hyp,L88 57 Low Light,3.50
S5,P9,Hyp,L88 57 Low Light,2.10
S5,P9,Hyp,L88 57 Low Light,3.10
S5,P9,Hyp,L88 57 Low Light,1.80
S5,P9,Hyp,L88 57 Low Light,2.50
S5,P9,Hyp,L88 57 Low Light,2.80
S5,P9,Hyp,L88 57 Low Light,3.20
S5,P9,Hyp,L88 57 Low Light,3.00
S5,P9,Hyp,L88 57 Low Light,3.80
S5,P9,Hyp,L88 57 Low Light,1.50
S5,P9,Hyp,L88 57 Low Light,4.50
S5,P9,Hyp,L88 57 Low Light,4.60
S5,P9,Hyp,L88 57 Low Light,1.50
S5,P9,Hyp,L88 57 Low Light,3.50
S5,P9,Hyp,L88 57 Low Light,2.50
S5,P9,Hyp,L88 57 Low Light,3.10
S5,P9,Hyp,L88 57 Low Light,3.00
S5,P9,Hyp,L88 57 Low Light,2.40
S5,P9,Hyp,L88 57 High Light,3.50
S5,P9,Hyp,L88 57 High Light,4.00
S5,P9,Hyp,L88 57 High Light,3.50
S5,P9,Hyp,L88 57 High Light,3.00
S5,P9,Hyp,L88 57 High Light,2.60
S5,P9,Hyp,L88 57 High Light,3.10
S5,P9,Hyp,L88 57 High Light,3.00
S5,P9,Hyp,L88 57 High Light,1.70
S5,P9,Hyp,L88 57 High Light,1.00
S5,P9,Hyp,L88 57 High Light,2.10
S5,P9,Hyp,L88 57 High Light,2.50
S5,P9,Hyp,L88 57 High Light,3.10
S5,P9,Hyp,L88 57 High Light,4.00
S5,P9,Hyp,L88 57 High Light,2.90
S5,P9,Hyp,L88 57 High Light,3.20
S5,P9,Hyp,L88 57 High Light,4.30
S5,P9,Hyp,L88 57 High Light,4.80
S5,P9,Hyp,L88 57 High Light,3.20
S5,P9,Epi,L88 57 Low Light,3.00
S5,P9,Epi,L88 57 Low Light,2.10
S5,P9,Epi,L88 57 Low Light,2.50
S5,P9,Epi,L88 57 Low Light,3.00
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,3.50
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,2.20
S5,P9,Epi,L88 57 Low Light,1.60
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,2.40
S5,P9,Epi,L88 57 Low Light,2.80
S5,P9,Epi,L88 57 Low Light,2.30
S5,P9,Epi,L88 57 Low Light,3.00
S5,P9,Epi,L88 57 Low Light,2.50
S5,P9,Epi,L88 57 Low Light,2.00
S5,P9,Epi,L88 57 Low Light,2.50
S5,P9,Epi,L88 57 High Light,2.50
S5,P9,Epi,L88 57 High Light,2.00
S5,P9,Epi,L88 57 High Light,2.00
S5,P9,Epi,L88 57 High Light,1.70
S5,P9,Epi,L88 57 High Light,2.50
S5,P9,Epi,L88 57 High Light,2.50
S5,P9,Epi,L88 57 High Light,2.00
S5,P9,Epi,L88 57 High Light,3.00
S5,P9,Epi,L88 57 High Light,4.10
S5,P9,Epi,L88 57 High Light,2.80
S5,P9,Epi,L88 57 High Light,1.80
S5,P9,Epi,L88 57 High Light,0.40
S5,P9,Epi,L88 57 High Light,2.30
S5,P9,Epi,L88 57 High Light,2.50
S5,P9,Epi,L88 57 High Light,2.20
S5,P9,Epi,L88 57 High Light,2.00
S5,P9,Epi,L88 57 High Light,2.20
S5,P9,Epi,L88 57 High Light,2.40
S5,P9,IN1,L88 57 Low Light,1.60
S5,P9,IN1,L88 57 Low Light,1.50
S5,P9,IN1,L88 57 Low Light,2.20
S5,P9,IN1,L88 57 Low Light,1.70
S5,P9,IN1,L88 57 Low Light,1.90
S5,P9,IN1,L88 57 Low Light,1.40
S5,P9,IN1,L88 57 Low Light,1.50
S5,P9,IN1,L88 57 Low Light,1.80
S5,P9,IN1,L88 57 Low Light,1.90
S5,P9,IN1,L88 57 Low Light,2.50
S5,P9,IN1,L88 57 Low Light,2.30
S5,P9,IN1,L88 57 Low Light,1.70
S5,P9,IN1,L88 57 Low Light,2.00
S5,P9,IN1,L88 57 Low Light,2.50
S5,P9,IN1,L88 57 Low Light,2.00
S5,P9,IN1,L88 57 Low Light,2.00
S5,P9,IN1,L88 57 Low Light,2.60
S5,P9,IN1,L88 57 Low Light,2.00
S5,P9,IN1,L88 57 Low Light,1.40
S5,P9,IN1,L88 57 Low Light,1.50
S5,P9,IN1,L88 57 High Light,1.00
S5,P9,IN1,L88 57 High Light,1.50
S5,P9,IN1,L88 57 High Light,1.70
S5,P9,IN1,L88 57 High Light,1.00
S5,P9,IN1,L88 57 High Light,1.10
S5,P9,IN1,L88 57 High Light,1.50
S5,P9,IN1,L88 57 High Light,1.30
