Stage,Plastochron,Segment,Treatment,Length
S5,P9,Hyp,L88 57 Low Light,3.5
S5,P9,Hyp,L88 57 Low Light,4.2
S5,P9,Hyp,L88 57 Low Light,3.5
S5,P9,Hyp,L88 57 Low Light,2.1
S5,P9,Hyp,L88 57 Low Light,3.1
S5,P9,Hyp,L88 57 Low Light,1.8
S5,P9,Hyp,L88 57 Low Light,2.5
S5,P9,Hyp,L88 57 Low Light,2.8
S5,P9,Hyp,L88 57 Low Light,3.2
S5,P9,Hyp,L88 57 Low Light,3
S5,P9,Hyp,L88 57 Low Light,3.8
S5,P9,Hyp,L88 57 Low Light,1.5
S5,P9,Hyp,L88 57 Low Light,4.5
S5,P9,Hyp,L88 57 Low Light,4.6
S5,P9,Hyp,L88 57 Low Light,1.5
S5,P9,Hyp,L88 57 Low Light,3.5
S5,P9,Hyp,L88 57 Low Light,2.5
S5,P9,Hyp,L88 57 Low Light,3.1
S5,P9,Hyp,L88 57 Low Light,3
S5,P9,Hyp,L88 57 Low Light,2.4
S5,P9,Hyp,L88 57 High Light,3.5
S5,P9,Hyp,L88 57 High Light,4
S5,P9,Hyp,L88 57 High Light,3.5
S5,P9,Hyp,L88 57 High Light,3
S5,P9,Hyp,L88 57 High Light,2.6
S5,P9,Hyp,L88 57 High Light,3.1
S5,P9,Hyp,L88 57 High Light,3
S5,P9,Hyp,L88 57 High Light,1.7
S5,P9,Hyp,L88 57 High Light,1
S5,P9,Hyp,L88 57 High Light,2.1
S5,P9,Hyp,L88 57 High Light,2.5
S5,P9,Hyp,L88 57 High Light,3.1
S5,P9,Hyp,L88 57 High Light,4
S5,P9,Hyp,L88 57 High Light,2.9
S5,P9,Hyp,L88 57 High Light,3.2
S5,P9,Hyp,L88 57 High Light,4.3
S5,P9,Hyp,L88 57 High Light,4.8
S5,P9,Hyp,L88 57 High Light,3.2
S5,P9,Hyp,Zenith Low Light,7.5
S5,P9,Hyp,Zenith Low Light,8.2
S5,P9,Hyp,Zenith Low Light,8
S5,P9,Hyp,Zenith Low Light,8
S5,P9,Hyp,Zenith Low Light,6.6
S5,P9,Hyp,Zenith Low Light,7.2
S5,P9,Hyp,Zenith Low Light,7.3
S5,P9,Hyp,Zenith Low Light,7.5
S5,P9,Hyp,Zenith Low Light,5.2
S5,P9,Hyp,Zenith Low Light,7.5
S5,P9,Hyp,Zenith Low Light,1.1
S5,P9,Hyp,Zenith Low Light,1.2
S5,P9,Hyp,Zenith Low Light,2.4
S5,P9,Hyp,Zenith Low Light,5.6
