Stage,Plastochron,Internode,Treatment,Length
S1,P0,Hyp,L88 57 Low Light,4.30
S1,P0,Hyp,L88 57 Low Light,3.80
S1,P0,Hyp,L88 57 Low Light,4.40
S1,P0,Hyp,L88 57 Low Light,2.30
S1,P0,Hyp,L88 57 Low Light,3.10
S1,P0,Hyp,L88 57 Low Light,2.00
S1,P0,Hyp,L88 57 Low Light,3.00
S1,P0,Hyp,L88 57 Low Light,2.80
S1,P0,Hyp,L88 57 Low Light,2.50
S1,P0,Hyp,L88 57 Low Light,2.60
S1,P0,Hyp,L88 57 Low Light,2.60
S1,P0,Hyp,L88 57 Low Light,3.20
S1,P0,Hyp,L88 57 Low Light,4.20
S1,P0,Hyp,L88 57 Low Light,2.40
S1,P0,Hyp,L88 57 Low Light,2.20
S1,P0,Hyp,L88 57 Low Light,3.10
S1,P0,Hyp,L88 57 Low Light,2.30
S1,P0,Hyp,L88 57 Low Light,3.00
S1,P0,Hyp,L88 57 Low Light,2.20
S1,P0,Hyp,L88 57 Low Light,2.70
S1,P0,Hyp,L88 57 High Light,3.50
S1,P0,Hyp,L88 57 High Light,3.40
S1,P0,Hyp,L88 57 High Light,3.50
S1,P0,Hyp,L88 57 High Light,3.30
S1,P0,Hyp,L88 57 High Light,2.50
S1,P0,Hyp,L88 57 High Light,3.20
S1,P0,Hyp,L88 57 High Light,3.10
S1,P0,Hyp,L88 57 High Light,2.40
S1,P0,Hyp,L88 57 High Light,3.40
S1,P0,Hyp,L88 57 High Light,2.00
S1,P0,Hyp,L88 57 High Light,2.40
S1,P0,Hyp,L88 57 High Light,2.80
S1,P0,Hyp,L88 57 High Light,3.10
S1,P0,Hyp,L88 57 High Light,2.70
S1,P0,Hyp,L88 57 High Light,3.10
S1,P0,Hyp,L88 57 High Light,3.30
S1,P0,Hyp,L88 57 High Light,3.60
S1,P0,Hyp,L88 57 High Light,3.00
S1,P0,Epi,L88 57 Low Light,2.20
S1,P0,Epi,L88 57 Low Light,1.90
S1,P0,Epi,L88 57 Low Light,2.10
S1,P0,Epi,L88 57 Low Light,2.90
S1,P0,Epi,L88 57 Low Light,1.80
S1,P0,Epi,L88 57 Low Light,2.70
S1,P0,Epi,L88 57 Low Light,1.90
S1,P0,Epi,L88 57 Low Light,1.50
S1,P0,Epi,L88 57 Low Light,2.10
S1,P0,Epi,L88 57 Low Light,2.00
S1,P0,Epi,L88 57 Low Light,1.50
S1,P0,Epi,L88 57 Low Light,2.50
S1,P0,Epi,L88 57 Low Light,1.50
S1,P0,Epi,L88 57 Low Light,2.10
S1,P0,Epi,L88 57 Low Light,2.20
S1,P0,Epi,L88 57 Low Light,2.00
S1,P0,Epi,L88 57 Low Light,2.50
S1,P0,Epi,L88 57 Low Light,1.90
S1,P0,Epi,L88 57 Low Light,1.40
S1,P0,Epi,L88 57 Low Light,1.70
S1,P0,Epi,L88 57 High Light,2.10
S1,P0,Epi,L88 57 High Light,1.30
S1,P0,Epi,L88 57 High Light,1.50
S1,P0,Epi,L88 57 High Light,1.20
S1,P0,Epi,L88 57 High Light,2.00
S1,P0,Epi,L88 57 High Light,1.90
S1,P0,Epi,L88 57 High Light,1.60
S1,P0,Epi,L88 57 High Light,2.40
S1,P0,Epi,L88 57 High Light,1.30
S1,P0,Epi,L88 57 High Light,1.90
S1,P0,Epi,L88 57 High Light,1.10
S1,P0,Epi,L88 57 High Light,2.10
S1,P0,Epi,L88 57 High Light,1.80
S1,P0,Epi,L88 57 High Light,2.00
S1,P0,Epi,L88 57 High Light,1.60
S1,P0,Epi,L88 57 High Light,1.40
S1,P0,Epi,L88 57 High Light,1.50
S1,P0,Epi,L88 57 High Light,2.30
"S1, S2",P1,Hyp,L88 57 Low Light,3.40
"S1, S2",P1,Hyp,L88 57 Low Light,3.70
"S1, S2",P1,Hyp,L88 57 Low Light,3.40
"S1, S2",P1,Hyp,L88 57 Low Light,2.30
"S1, S2",P1,Hyp,L88 57 Low Light,2.60
"S1, S2",P1,Hyp,L88 57 Low Light,2.20
"S1, S2",P1,Hyp,L88 57 Low Light,3.40
"S1, S2",P1,Hyp,L88 57 Low Light,3.00
"S1, S2",P1,Hyp,L88 57 Low Light,2.70
"S1, S2",P1,Hyp,L88 57 Low Light,2.90
"S1, S2",P1,Hyp,L88 57 Low Light,3.00
"S1, S2",P1,Hyp,L88 57 Low Light,3.40
"S1, S2",P1,Hyp,L88 57 Low Light,4.00
"S1, S2",P1,Hyp,L88 57 Low Light,3.10
"S1, S2",P1,Hyp,L88 57 Low Light,2.30
"S1, S2",P1,Hyp,L88 57 Low Light,3.10
"S1, S2",P1,Hyp,L88 57 Low Light,2.10
"S1, S2",P1,Hyp,L88 57 Low Light,3.00
"S1, S2",P1,Hyp,L88 57 Low Light,2.60
"S1, S2",P1,Hyp,L88 57 Low Light,2.20
"S1, S2",P1,Hyp,L88 57 High Light,3.60
"S1, S2",P1,Hyp,L88 57 High Light,3.70
"S1, S2",P1,Hyp,L88 57 High Light,3.50
"S1, S2",P1,Hyp,L88 57 High Light,3.50
"S1, S2",P1,Hyp,L88 57 High Light,3.10
"S1, S2",P1,Hyp,L88 57 High Light,3.70
"S1, S2",P1,Hyp,L88 57 High Light,3.30
"S1, S2",P1,Hyp,L88 57 High Light,2.40
"S1, S2",P1,Hyp,L88 57 High Light,4.10
"S1, S2",P1,Hyp,L88 57 High Light,2.90
"S1, S2",P1,Hyp,L88 57 High Light,2.80
"S1, S2",P1,Hyp,L88 57 High Light,2.80
"S1, S2",P1,Hyp,L88 57 High Light,3.80
"S1, S2",P1,Hyp,L88 57 High Light,3.30
"S1, S2",P1,Hyp,L88 57 High Light,3.40
"S1, S2",P1,Hyp,L88 57 High Light,3.60
"S1, S2",P1,Hyp,L88 57 High Light,4.80
"S1, S2",P1,Hyp,L88 57 High Light,3.70
"S1, S2",P1,Epi,L88 57 Low Light,2.50
"S1, S2",P1,Epi,L88 57 Low Light,1.80
"S1, S2",P1,Epi,L88 57 Low Light,2.30
"S1, S2",P1,Epi,L88 57 Low Light,3.00
"S1, S2",P1,Epi,L88 57 Low Light,1.90
