Stage,Plastochron,Treatment,Length
S5,P9,L88 57 Low Light,20.50
S5,P9,L88 57 Low Light,42.00
S5,P9,L88 57 Low Light,25.20
S5,P9,L88 57 Low Light,48.00
S5,P9,L88 57 Low Light,44.00
S5,P9,L88 57 Low Light,21.40
S5,P9,L88 57 Low Light,28.70
S5,P9,L88 57 Low Light,23.50
S5,P9,L88 57 Low Light,34.60
S5,P9,L88 57 Low Light,41.50
S5,P9,L88 57 Low Light,51.00
S5,P9,L88 57 Low Light,42.60
S5,P9,L88 57 Low Light,45.50
S5,P9,L88 57 Low Light,46.20
S5,P9,L88 57 Low Light,34.70
S5,P9,L88 57 Low Light,39.50
S5,P9,L88 57 Low Light,51.50
S5,P9,L88 57 Low Light,40.50
S5,P9,L88 57 Low Light,17.60
S5,P9,L88 57 Low Light,23.20
S5,P9,L88 57 High Light,19.00
S5,P9,L88 57 High Light,18.50
S5,P9,L88 57 High Light,19.50
S5,P9,L88 57 High Light,19.00
S5,P9,L88 57 High Light,20.50
S5,P9,L88 57 High Light,20.50
S5,P9,L88 57 High Light,17.00
S5,P9,L88 57 High Light,20.10
S5,P9,L88 57 High Light,15.70
S5,P9,L88 57 High Light,NA
S5,P9,L88 57 High Light,18.50
S5,P9,L88 57 High Light,15.80
S5,P9,L88 57 High Light,19.20
S5,P9,L88 57 High Light,16.90
S5,P9,L88 57 High Light,24.00
S5,P9,L88 57 High Light,18.50
S5,P9,L88 57 High Light,NA
S5,P9,L88 57 High Light,20.00
S5,P9,L88 57 High Light,18.20
S5,P9,L88 57 High Light,15.10
"S4, S5",P8,L88 57 Low Light,16.50
"S4, S5",P8,L88 57 Low Light,25.10
"S4, S5",P8,L88 57 Low Light,20.40
"S4, S5",P8,L88 57 Low Light,27.50
"S4, S5",P8,L88 57 Low Light,31.50
"S4, S5",P8,L88 57 Low Light,19.20
"S4, S5",P8,L88 57 Low Light,28.40
"S4, S5",P8,L88 57 Low Light,21.50
"S4, S5",P8,L88 57 Low Light,33.50
"S4, S5",P8,L88 57 Low Light,30.00
"S4, S5",P8,L88 57 Low Light,36.00
"S4, S5",P8,L88 57 Low Light,35.50
"S4, S5",P8,L88 57 Low Light,32.00
"S4, S5",P8,L88 57 Low Light,30.50
"S4, S5",P8,L88 57 Low Light,24.10
"S4, S5",P8,L88 57 Low Light,24.60
"S4, S5",P8,L88 57 Low Light,30.00
"S4, S5",P8,L88 57 Low Light,23.50
"S4, S5",P8,L88 57 Low Light,17.00
"S4, S5",P8,L88 57 Low Light,19.60
"S4, S5",P8,L88 57 High Light,18.50
"S4, S5",P8,L88 57 High Light,16.50
"S4, S5",P8,L88 57 High Light,17.60
"S4, S5",P8,L88 57 High Light,17.60
"S4, S5",P8,L88 57 High Light,17.70
